show_id,person_id,job_id
58,2226,0
58,27235,0
58,10281,0
58,12928,0
58,18185,0
58,18353,1
59,20416,0
59,15221,0
59,19743,0
59,25606,0
59,20641,0
59,10404,0
59,11336,0
59,6552,0
59,27896,0
59,23189,0
59,22948,0
59,9050,0
59,11048,0
59,7258,0
59,19192,0
59,19420,0
59,12175,0
59,18411,1
60,11808,0
60,2167,0
60,7579,0
60,2281,0
60,24841,0
60,4780,0
60,13143,0
60,14497,0
60,1782,1
60,759,1
61,11290,0
61,16377,0
61,11501,0
61,6161,0
61,3214,0
61,3935,1
62,6410,0
62,12046,0
62,8826,0
62,14578,0
62,2220,0
62,6362,0
62,3968,0
62,23206,0
62,13997,0
62,24761,0
62,12393,1
63,1385,0
63,5334,0
63,9016,0
63,27815,0
63,8808,0
63,16355,0
63,17212,0
63,18686,0
63,17022,0
63,16351,0
63,15811,0
63,9430,0
63,5137,0
63,9127,1
64,14221,0
64,4674,0
64,21282,0
64,24095,0
64,1071,0
64,1353,0
64,13266,0
64,14724,0
64,6230,1
65,19802,0
65,5283,0
65,14454,0
65,13867,0
65,25760,0
65,723,0
65,2703,0
65,7745,0
65,19795,0
65,18093,0
65,27498,1
66,18787,0
66,24841,0
66,25246,0
66,10946,0
66,4988,0
66,17698,0
66,5403,0
66,21758,0
66,4900,0
66,28103,0
66,20662,1
67,11167,0
67,9490,0
67,2178,0
67,21428,0
67,6247,0
67,17481,0
67,24156,0
67,18312,0
67,23067,0
67,27163,0
67,16365,0
67,19464,0
67,26946,1
68,4719,0
68,13283,0
68,14127,0
68,25726,0
68,6037,0
68,11386,0
68,14325,0
68,23113,0
68,6918,0
68,3130,0
68,22422,1
69,2733,0
69,26496,0
69,11993,0
69,1887,0
69,18346,0
69,12986,0
69,6495,0
69,4494,0
69,14454,0
69,26679,0
69,18980,0
69,6626,1
70,3314,0
70,9984,0
70,28518,0
70,11597,0
70,14366,0
70,20993,0
70,28425,0
70,9659,0
70,9230,0
70,15623,0
70,7542,0
70,2600,0
70,21599,0
70,5457,0
70,27203,0
70,14854,1
71,22919,0
71,11499,0
71,7793,0
71,27440,0
71,27536,0
71,4225,0
71,12605,0
71,6237,0
71,28517,0
71,11422,0
71,24565,1
72,12642,0
72,18621,0
72,11585,0
